Nr.;x1;x2;y1;y2;z1;z2;z3;z4;U1;U2;Zeit
147;-0,1;0,9;0,2;-0,1;4,4;-6,8;-6,8;7,2;-0,0061;0,0065;0,0735
148;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-4;10;-0,0061;0,0065;0,074
149;-0,1;0,5;-0,1;0,2;1,6;-6,8;-6,8;7,2;-0,0061;0,0065;0,0745
150;0,2;0,9;-0,1;0,2;4,4;-6,8;-6,8;12,8;-0,0061;0,009;0,075
151;-0,1;0,9;-0,1;0,2;1,6;-6,8;-6,8;10;-0,0061;0,0065;0,0755
152;-0,1;0,9;-0,1;-0,1;-1,2;-4;-6,8;10;-0,0061;0,009;0,076
153;-0,5;0,9;-0,5;-0,1;4,4;-6,8;-6,8;7,2;-0,0061;0,009;0,0765
154;0,2;0,9;0,2;-0,1;4,4;-6,8;-6,8;7,2;-0,0036;0,009;0,077
155;0,2;0,9;-0,5;0,2;1,6;-6,8;-6,8;10;-0,0061;0,0115;0,0775
156;0,2;0,5;-0,5;0,2;1,6;-4;-9,6;12,8;-0,0061;0,0115;0,078
157;-0,1;0,5;0,2;0,2;4,4;-6,8;-6,8;12,8;-0,0087;0,009;0,0785
158;-0,1;0,5;0,2;0,2;4,4;-6,8;-9,6;12,8;-0,0061;0,009;0,079
159;-0,5;0,5;-0,1;-0,5;4,4;-6,8;-6,8;12,8;-0,0061;0,014;0,0795
160;-0,1;0,2;-0,1;0,2;4,4;-6,8;-6,8;10;-0,0061;0,009;0,08
161;0,2;0,2;0,2;0,2;4,4;-6,8;-6,8;10;-0,0061;0,0115;0,0805
162;-0,1;0,9;0,2;0,2;4,4;-6,8;-9,6;10;-0,0061;0,009;0,081
163;0,2;0,9;-0,1;0,2;4,4;-1,2;-4;7,2;-0,0036;0,009;0,0815
164;0,2;0,9;-0,1;0,2;1,6;-6,8;-9,6;7,2;-0,0087;0,009;0,082
165;0,9;0,5;-0,1;0,2;1,6;-6,8;-6,8;7,2;-0,0061;0,009;0,0825
166;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-4;10;-0,0061;0,009;0,083
167;-0,1;0,5;-0,1;0,2;7,2;-6,8;-6,8;12,8;-0,0061;0,0065;0,0835
168;-0,1;0,5;-0,1;0,2;4,4;-6,8;-6,8;10;-0,0061;0,0065;0,084
169;-0,1;0,5;-0,1;0,2;1,6;-15,2;-6,8;10;-0,0061;0,009;0,0845
170;0,2;0,9;-0,5;0,2;4,4;-6,8;-9,6;10;-0,0061;0,0065;0,085
171;-0,1;0,5;-0,1;0,5;4,4;-6,8;-6,8;7,2;-0,0087;0,009;0,0855
172;0,2;0,5;-0,1;0,2;4,4;-6,8;-4;12,8;-0,0061;0,009;0,086
173;0,2;0,9;-0,1;-0,1;4,4;-1,2;-6,8;10;-0,0061;0,009;0,0865
174;0,2;0,5;-0,1;-0,1;1,6;-6,8;-4;10;-0,0036;0,0065;0,087
175;0,2;0,2;-0,1;1,2;1,6;-4;-6,8;10;-0,0061;0,009;0,0875
176;0,2;0,5;-0,5;0,2;4,4;-4;-6,8;10;-0,0061;0,009;0,088
177;-0,1;0,5;-0,5;0,2;4,4;-9,6;-9,6;10;-0,0061;0,0065;0,0885
178;0,2;0,5;-0,5;0,2;4,4;-4;-6,8;10;-0,0061;0,009;0,089
179;-0,5;0,9;0,2;1,2;1,6;-6,8;-9,6;7,2;-0,0061;0,009;0,0895
180;-0,1;0,5;0,2;0,2;1,6;-6,8;-4;12,8;-0,0087;0,0115;0,09
181;0,2;0,9;-0,1;0,2;1,6;-9,6;-6,8;10;-0,0061;0,009;0,0905
182;-0,1;0,5;-0,1;0,2;4,4;-6,8;-6,8;10;-0,0061;0,009;0,091
183;-0,1;0,5;-0,5;-0,1;4,4;-6,8;-9,6;10;-0,0061;0,0115;0,0915
184;-0,1;0,2;-0,1;0,2;4,4;-6,8;-6,8;10;-0,0061;0,0065;0,092
185;-0,1;0,9;-0,5;-0,1;1,6;-9,6;-6,8;10;-0,0087;0,0065;0,0925
186;-0,1;0,5;-0,5;-0,1;4,4;-6,8;-6,8;10;-0,0036;0,009;0,093
187;0,5;0,5;-0,1;-0,1;4,4;-9,6;-9,6;12,8;-0,0061;0,0115;0,0935
188;-0,1;0,9;0,2;0,2;4,4;-6,8;-9,6;10;-0,0061;0,0065;0,094
189;0,2;0,5;-0,1;-0,1;1,6;-6,8;-6,8;10;-0,0087;0,009;0,0945
190;0,2;0,5;-0,5;0,2;4,4;-6,8;-9,6;10;-0,0087;0,009;0,095
191;-0,1;1,2;0,2;0,2;4,4;-6,8;-9,6;7,2;-0,0061;0,009;0,0955
192;0,2;0,5;0,2;0,2;4,4;-9,6;-6,8;7,2;-0,0061;0,009;0,096
193;-0,5;0,5;-0,1;0,5;7,2;-4;-6,8;10;-0,0061;0,0065;0,0965
194;0,2;0,9;0,2;-0,1;1,6;-6,8;-6,8;10;-0,0061;0,009;0,097
195;-0,5;-0,1;-0,1;0,2;4,4;-9,6;-9,6;10;-0,0061;0,009;0,0975
196;0,2;0,5;-0,1;-0,1;4,4;-4;-6,8;10;-0,0087;0,009;0,098
197;0,2;0,9;-0,1;0,2;1,6;-6,8;-9,6;10;-0,0061;0,0065;0,0985
198;0,2;0,5;-0,1;0,5;4,4;-6,8;-6,8;12,8;-0,0036;0,0065;0,099
199;0,2;0,9;-0,5;-0,1;1,6;-4;-6,8;10;-0,0061;0,009;0,0995
200;0,2;0,5;-0,1;0,2;4,4;-6,8;-6,8;4,4;-0,0036;0,009;0,1
201;0,2;0,5;0,2;0,2;4,4;-6,8;-4;10;-0,0061;0,0065;0,1005
202;0,2;0,9;-0,1;0,2;1,6;-6,8;-6,8;10;-0,0087;0,009;0,101
203;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-6,8;12,8;-0,0087;0,0115;0,1015
204;0,2;0,5;-0,1;0,5;7,2;-4;-6,8;10;-0,0061;0,009;0,102
205;-0,1;0,9;-0,5;0,2;4,4;-9,6;-9,6;10;-0,0061;0,0065;0,1025
206;-0,5;0,9;-0,1;-0,5;4,4;-6,8;-6,8;10;-0,0061;0,009;0,103
207;-0,1;0,9;-0,1;0,2;4,4;-4;-6,8;7,2;-0,0061;0,0115;0,1035
208;0,2;0,5;-0,1;-0,1;4,4;-6,8;-9,6;4,4;-0,0061;0,0115;0,104
209;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-6,8;10;-0,0087;0,0115;0,1045
210;-0,1;0,5;0,2;-0,1;4,4;-6,8;-6,8;7,2;-0,0087;0,0065;0,105
211;0,2;0,5;-0,5;0,5;1,6;-6,8;-6,8;10;-0,0061;0,0065;0,1055
212;-0,1;0,5;-0,1;0,2;4,4;-9,6;-9,6;10;-0,0061;0,009;0,106
213;-0,1;0,9;0,2;0,2;4,4;-9,6;-9,6;7,2;-0,0087;0,009;0,1065
214;-0,1;0,2;0,2;0,2;7,2;-4;-6,8;10;-0,0087;0,0115;0,107
215;-0,1;0,9;0,2;0,2;4,4;-6,8;-6,8;10;-0,0061;0,0115;0,1075
216;-0,1;0,5;-0,1;0,2;4,4;-6,8;-6,8;10;-0,0087;0,009;0,108
217;-0,1;0,5;0,9;-0,1;4,4;-4;-6,8;12,8;-0,0061;0,009;0,1085
218;0,2;0,5;0,2;0,2;1,6;-4;-9,6;10;-0,0087;0,009;0,109
219;0,2;0,5;0,2;0,5;4,4;-6,8;-9,6;10;-0,0087;0,0115;0,1095
220;0,2;0,9;-0,1;0,5;4,4;-6,8;-6,8;10;-0,0061;0,009;0,11
221;-0,5;0,5;-0,1;0,9;-1,2;-6,8;-6,8;10;-0,0061;0,009;0,1105
222;0,2;0,5;0,2;0,2;4,4;-6,8;-4;10;-0,0087;0,009;0,111
223;-0,1;0,9;-0,1;0,2;4,4;-9,6;-4;10;-0,0087;0,009;0,1115
224;-0,1;1,9;-0,1;0,2;7,2;-6,8;-6,8;7,2;-0,0087;0,0115;0,112
225;-0,1;0,5;-0,1;0,2;1,6;-4;-6,8;10;-0,0087;0,009;0,1125
226;-0,1;0,5;-0,1;0,2;4,4;-6,8;-9,6;7,2;-0,0061;0,009;0,113
227;-0,1;0,5;-0,1;0,2;4,4;-6,8;-9,6;10;-0,0061;0,009;0,1135
228;-0,1;0,5;-0,1;0,2;4,4;-6,8;-6,8;10;-0,0061;0,009;0,114
229;0,2;0,5;0,5;0,2;1,6;-6,8;-6,8;7,2;-0,0061;0,009;0,1145
230;-0,1;0,9;-0,1;-0,1;4,4;-4;-4;15,6;-0,0061;0,009;0,115
231;-1,2;0,5;-0,1;-0,1;1,6;-12,4;-6,8;10;-0,0061;0,0065;0,1155
232;-0,5;0,5;-0,1;-0,1;4,4;-6,8;-9,6;10;-0,0061;0,009;0,116
233;0,2;0,5;-0,5;-0,1;-1,2;-9,6;-6,8;10;-0,0087;0,009;0,1165
234;-0,1;0,9;-0,1;-0,1;4,4;-9,6;-6,8;10;-0,0061;0,009;0,117
235;-0,1;0,9;0,2;0,2;4,4;-6,8;-6,8;10;-0,0061;0,0115;0,1175
236;-0,1;0,5;-0,1;0,2;4,4;-6,8;-6,8;10;-0,0061;0,009;0,118
237;-0,1;0,2;-0,1;-0,5;1,6;-9,6;-9,6;10;-0,0061;0,009;0,1185
238;-0,5;0,9;0,2;-0,5;7,2;-9,6;-6,8;10;-0,0087;0,0115;0,119
239;-0,1;0,5;-0,5;0,5;1,6;-4;-9,6;10;-0,0087;0,009;0,1195
240;0,2;0,9;-0,1;0,2;1,6;-9,6;-9,6;10;-0,0087;0,0065;0,12
241;0,2;0,9;0,2;0,5;1,6;-6,8;-6,8;4,4;-0,0087;0,009;0,1205
242;-0,1;0,9;0,2;0,2;7,2;-4;-9,6;7,2;-0,0061;0,009;0,121
